image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/IMG_2696.png,855,https://s.shopee.co.th/3qMBwyNH96,maison-tee,ดำ,เสื้อยืด maison ทรง Oversized สีดำ,เสื้อ,ทุกเพศ,,แคชชวล,,
cropped/IMG_2697.png,855,https://s.shopee.co.th/3qMBwyNH96,maison-tee,น้ำเงิน,เสื้อยืด maison ทรง Oversized สีน้ำเงิน,เสื้อ,ทุกเพศ,,แคชชวล,,
cropped/IMG_2698.png,855,https://s.shopee.co.th/3qMBwyNH96,maison-tee,เขียวเข้ม,เสื้อยืด maison ทรง Oversized สีเขียวเข้ม,เสื้อ,ทุกเพศ,,แคชชวล,,
cropped/IMG_2699.png,855,https://s.shopee.co.th/3qMBwyNH96,maison-tee,ขาว,เสื้อยืด maison ทรง Oversized สีขาว,เสื้อ,ทุกเพศ,,แคชชวล,,
cropped/IMG_2700.png,855,https://s.shopee.co.th/3qMBwyNH96,maison-tee,เทาเข้ม,เสื้อยืด maison ทรง Oversized สีเทาเข้ม,เสื้อ,ทุกเพศ,,แคชชวล,,
cropped/IMG_2701.png,855,https://s.shopee.co.th/3qMBwyNH96,maison-tee,กรมท่า,เสื้อยืด maison ทรง Oversized สีกรมท่า,เสื้อ,ทุกเพศ,,แคชชวล,,
cropped/IMG_2702.png,855,https://s.shopee.co.th/3qMBwyNH96,maison-tee,กากี,เสื้อยืด maison ทรง Oversized สีกากี,เสื้อ,ทุกเพศ,,แคชชวล,,
cropped/IMG_2703.png,855,https://s.shopee.co.th/3qMBwyNH96,maison-tee,ฟ้าเดนิม,เสื้อยืด maison ทรง Oversized สีฟ้าเดนิม,เสื้อ,ทุกเพศ,,แคชชวล,,
cropped/IMG_2704.png,855,https://s.shopee.co.th/3qMBwyNH96,maison-tee,ครีมไอวอรี่,เสื้อยืด maison ทรง Oversized สีครีมไอวอรี่,เสื้อ,ทุกเพศ,,แคชชวล,,
cropped/IMG_2706.png,855,https://s.shopee.co.th/3qMBwyNH96,maison-tee,น้ำตาล,เสื้อยืด maison ทรง Oversized สีน้ำตาล,เสื้อ,ทุกเพศ,,แคชชวล,,
cropped/IMG_2707.png,855,https://s.shopee.co.th/3qMBwyNH96,maison-tee,แดงเลือดหมู,เสื้อยืด maison ทรง Oversized สีแดงเลือดหมู,เสื้อ,ทุกเพศ,,แคชชวล,,
