image,price,buyUrl,group,color,name,category,gender,fit,style,scale,removeBg
cropped/ov-bub-tee-white-canva.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly ลายลูกโป่ง,ขาว,เสื้อยืดครอป Basicly ลายลูกโป่ง สีขาว,เสื้อ,หญิง,,แคชชวล,,off
#cropped/basicly-ringer-black.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly Ringer,ดำ,เสื้อยืดครอป Basicly Ringer สีดำ,เสื้อ,หญิง,,วินเทจ,,
#cropped/basicly-ringer-blue.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly Ringer,ฟ้า,เสื้อยืดครอป Basicly Ringer สีฟ้า,เสื้อ,หญิง,,วินเทจ,,
#cropped/basicly-ringer-brown.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly Ringer,น้ำตาล,เสื้อยืดครอป Basicly Ringer สีน้ำตาล,เสื้อ,หญิง,,วินเทจ,,
#cropped/basicly-ringer-cream.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly Ringer,ครีม,เสื้อยืดครอป Basicly Ringer สีครีม,เสื้อ,หญิง,,วินเทจ,,
#cropped/basicly-ringer-grey.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly Ringer,เทา,เสื้อยืดครอป Basicly Ringer สีเทา,เสื้อ,หญิง,,วินเทจ,,
#cropped/basicly-ringer-navy.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly Ringer,กรมท่า,เสื้อยืดครอป Basicly Ringer สีกรมท่า,เสื้อ,หญิง,,วินเทจ,,
#cropped/basicly-ringer-pink.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly Ringer,ชมพู,เสื้อยืดครอป Basicly Ringer สีชมพู,เสื้อ,หญิง,,วินเทจ,,
#cropped/basicly-ringer-red.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly Ringer,แดง,เสื้อยืดครอป Basicly Ringer สีแดง,เสื้อ,หญิง,,วินเทจ,,
#cropped/basicly-ringer-white.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly Ringer,ขาว,เสื้อยืดครอป Basicly Ringer สีขาว,เสื้อ,หญิง,,วินเทจ,,
#cropped/flower-tee-black.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly ลายดอกไม้,ดำ,เสื้อยืดครอป Basicly ลายดอกไม้ สีดำ,เสื้อ,หญิง,,แคชชวล,,
#cropped/flower-tee-white.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly ลายดอกไม้,ขาว,เสื้อยืดครอป Basicly ลายดอกไม้ สีขาว,เสื้อ,หญิง,,แคชชวล,,
#cropped/heart-tee-black.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly ลายหัวใจ,ดำ,เสื้อยืดครอป Basicly ลายหัวใจ สีดำ,เสื้อ,หญิง,,แคชชวล,,
#cropped/heart-tee-white.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly ลายหัวใจ,ขาว,เสื้อยืดครอป Basicly ลายหัวใจ สีขาว,เสื้อ,หญิง,,แคชชวล,,
#cropped/ov-bub-tee-black.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly ลายลูกโป่ง,ดำ,เสื้อยืดครอป Basicly ลายลูกโป่ง สีดำ,เสื้อ,หญิง,,แคชชวล,,
#cropped/ov-bub-tee-blue.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly ลายลูกโป่ง,ฟ้า,เสื้อยืดครอป Basicly ลายลูกโป่ง สีฟ้า,เสื้อ,หญิง,,แคชชวล,,
#cropped/ov-bub-tee-grey.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly ลายลูกโป่ง,เทา,เสื้อยืดครอป Basicly ลายลูกโป่ง สีเทา,เสื้อ,หญิง,,แคชชวล,,
#cropped/ov-bub-tee-pink.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly ลายลูกโป่ง,ชมพู,เสื้อยืดครอป Basicly ลายลูกโป่ง สีชมพู,เสื้อ,หญิง,,แคชชวล,,
#cropped/ov-bub-tee-white.png,500,https://s.shopee.co.th/2BE5rRZClu,Basicly ลายลูกโป่ง,ขาว,เสื้อยืดครอป Basicly ลายลูกโป่ง สีขาว,เสื้อ,หญิง,,แคชชวล,,
#cropped/ringer-memie-brown-white.png,500,https://s.shopee.co.th/2BE5rRZClu,Nineties Club Ringer,น้ำตาล-ขาว,เสื้อยืดครอป Nineties Club Ringer สีน้ำตาล-ขาว,เสื้อ,หญิง,,วินเทจ,,off
#cropped/ringer-memie-red-white.png,500,https://s.shopee.co.th/2BE5rRZClu,Nineties Club Ringer,แดง-ขาว,เสื้อยืดครอป Nineties Club Ringer สีแดง-ขาว,เสื้อ,หญิง,,วินเทจ,,off
